TP9,AF7,AF8,TP10,timestamps
59.27269983,28.48653289,,12.29088079,1533222560
62.08194501,30.37741133,,11.65594117,1533222560
44.94985229,30.34447797,,11.17365616,1533222560
28.7650929,27.88806126,,9.44304449,1533222560
36.20367544,28.96335705,,11.34320009,1533222560
57.66341265,36.05928289,,16.04587348,1533222560
74.16131852,38.71411441,,27.88700834,1533222560
56.92474557,33.82790004,,34.25757458,1533222560
23.84476287,29.67531077,,13.17715666,1533222560
20.17809966,33.29568083,,9.294796536,1533222560
41.52372346,32.89966028,,15.3742319,1533222560
51.76360231,29.75784055,,14.27839994,1533222560
47.93229755,34.25066779,,21.98597937,1533222560
34.04075235,35.99175637,,17.38248171,1533222560
33.61293204,34.62735649,,12.21894416,1533222560
52.13845939,36.26195924,,20.32156593,1533222560
62.05022418,40.13324849,,22.10063269,1533222560
51.62479858,36.15181272,,14.40012446,1533222560
38.41041782,34.67226067,,15.98799364,1533222560
45.43893915,44.33367358,,21.64869236,1533222560
59.4916221,41.83689196,,23.43946507,1533222560
68.50532823,37.54159289,,21.38462731,1533222560
63.8776064,48.27341332,,20.37981211,1533222560
52.82033828,52.23142644,,20.00359253,1533222560
58.58797225,53.25257024,,18.68868666,1533222560
69.38321728,53.71621506,,21.5858358,1533222560
74.12410472,49.32715848,,25.8438895,1533222560
73.80987417,47.28902048,,30.2004744,1533222560
61.99778095,42.93976939,,32.29448852,1533222560
54.30312877,39.08009913,,33.19898131,1533222560
69.45151497,39.49088498,,30.65222038,1533222560
91.17800802,41.0568185,,34.18819496,1533222560
95.41511097,39.38056884,,37.66102595,1533222560
71.833859,39.11569411,,36.14739336,1533222560
72.87096732,37.13934253,,35.17934782,1533222560
87.80779998,37.93994062,,31.34295641,1533222560
102.9350479,41.36931913,,32.64931283,1533222560
102.5750001,34.76898553,,34.27164338,1533222560
80.08768177,37.99494074,,36.2332083,1533222560
77.72386765,51.00829871,,44.38267587,1533222560
94.13359635,61.55280506,,50.82772527,1533222560
107.845118,66.41768371,,58.0773266,1533222560
107.850147,60.50664357,,56.00928171,1533222560
96.71591328,61.9968879,,48.90926807,1533222560
86.54095533,69.29953816,,46.7702448,1533222560
82.37130242,64.50634749,,42.56456252,1533222560
106.0546317,62.00305948,,44.16069103,1533222560
113.7281137,69.42866421,,49.91074078,1533222560
98.10693342,70.68368901,,55.73749877,1533222560
82.99440507,64.92527868,,49.05856067,1533222560
89.91640564,62.02118993,,40.13602005,1533222560
107.2793985,62.54545179,,42.87338149,1533222560
110.4868826,54.59905606,,45.81943952,1533222560
88.25281409,46.47169966,,38.03159662,1533222560
63.56475666,41.55663037,,32.662,1533222560
65.09778683,37.50009058,,29.80042891,1533222560
85.59717393,33.07025405,,28.3807247,1533222560
88.40767038,29.76159159,,30.81341369,1533222560
72.75399215,28.81382376,,26.92785021,1533222560
64.88588843,28.20410215,,21.98094795,1533222560
60.60337438,21.88900704,,18.37198374,1533222560
62.49055708,20.1597474,,14.57211419,1533222560
72.66543979,22.33845068,,16.5846846,1533222560
58.24234709,19.05931773,,15.03919128,1533222560
40.49523504,16.03464327,,11.56908488,1533222560
47.27846845,18.04329155,,10.64204297,1533222560
57.63204594,16.9537839,,6.816476898,1533222560
69.77420817,16.57780084,,10.70880846,1533222560
70.3988467,18.1040655,,15.74339603,1533222560
53.06288577,21.07129508,,14.66736967,1533222560
45.27900232,17.60736991,,14.51468028,1533222560
57.61319942,16.84826461,,14.65916258,1533222560
71.37969112,23.3310027,,20.42844248,1533222560
67.65607478,22.4104454,,19.03184892,1533222560
44.30726677,24.36976478,,13.66015643,1533222560
