TP9,AF7,AF8,TP10,timestamps
20.811349399387836,21.08849608898163,21.64140421152115,18.08789274841547,1533058199.795
20.81146488338709,21.08899837732315,21.64183732867241,18.087721191346645,1533058199.799
20.81158036738634,21.089500665664673,21.642270475625992,18.0875496417284,1533058199.803
20.811695858836174,21.090002983808517,21.642703622579575,18.087378092110157,1533058199.807
20.811811350286007,21.090505301952362,21.64313679933548,18.08720652759075,1533058199.811
20.81192683428526,21.091007590293884,21.643569946289062,18.087034977972507,1533058199.815
20.812042325735092,21.091509878635406,21.644003093242645,18.086863420903683,1533058199.819
20.812157809734344,21.09201219677925,21.644436240196228,18.08669187128544,1533058199.823
20.812273293733597,21.092514485120773,21.64486938714981,18.086520314216614,1533058199.827
20.812359914183617,21.092891216278076,21.64519426226616,18.086391650140285,1533058199.83
20.81247540563345,21.09339353442192,21.645627439022064,18.08622008562088,1533058199.834
20.812590889632702,21.093895822763443,21.646060556173325,18.086048536002636,1533058199.838
20.812706381082535,21.094398111104965,21.646493703126907,18.085876986384392,1533058199.842
20.812821865081787,21.094900399446487,21.64692685008049,18.085705429315567,1533058199.846
20.81293735653162,21.095402717590332,21.647359997034073,18.085533879697323,1533058199.85
20.813052847981453,21.095905035734177,21.647793173789978,18.085362315177917,1533058199.854
20.813168331980705,21.0964073240757,21.64822632074356,18.085190765559673,1533058199.858
20.813283815979958,21.09690961241722,21.648659467697144,18.08501921594143,1533058199.862
20.81339930742979,21.097411930561066,21.649092614650726,18.084847658872604,1533058199.866
20.813514791429043,21.097914218902588,21.64952576160431,18.08467610925436,1533058199.87
20.813601411879063,21.09829095005989,21.649850636720657,18.084547445178032,1533058199.873
20.813716903328896,21.098793268203735,21.65028378367424,18.084375880658627,1533058199.877
20.813832387328148,21.099295556545258,21.650716930627823,18.084204331040382,1533058199.881
20.81394787877798,21.09979784488678,21.651150077581406,18.084032773971558,1533058199.885
20.814063362777233,21.100300163030624,21.65158322453499,18.083861224353313,1533058199.889
20.814178846776485,21.100802451372147,21.65201637148857,18.08368967473507,1533058199.893
