timestamps,TP9,AF7,AF8,TP10,RIGHTAUX
1533059192.499,30.65279465218001,15.093228137401026,28.56102469055923,0.9611198671434056,0.977
1533059192.503,25.20876782357473,13.427275155415735,27.61065055866503,0.0,39.551
1533059192.507,20.996078440428786,14.768228942517863,27.12408425890241,2.7892364350862824,39.551
1533059192.511,11.824375967780153,15.523002786354006,25.076591516615103,0.9359459368784376,74.219
1533059192.515,17.363033705276834,16.542216375162603,22.319761510795804,-1.512279240226739,91.309
1533059192.519,32.064051617881496,17.61373887102885,22.93222047894935,-0.9839493274869682,95.215
1533059192.522,30.55328353397736,17.895322540347742,22.07327876330348,1.0073239218214498,27.832
1533059192.526,15.74950224293439,16.329832148696063,19.9760192050397,-3.38740369664504,6.836
1533059192.53,2.848609341428169,15.726689617581192,19.006887345250785,-13.50389229848684,16.602
1533059192.534,11.931560657686385,16.44304196274047,19.464856400930632,-11.014444704023742,10.254
1533059192.538,27.596574193081803,16.66018829688522,21.46125787383881,-5.512925165833627,56.152
1533059192.542,19.373662614307783,15.022941082422571,23.13331910418345,-4.690156588078435,67.383
1533059192.546,12.3365144714875,19.361575811375456,24.065879412987822,-7.142140085208812,-30.273
1533059192.55,4.276097489076762,16.23765391387708,23.2597030115229,-11.511006517014266,-61.035
1533059192.554,13.653191564018726,16.223557542073298,24.562386276714367,-8.94486633594336,31.738
1533059192.558,31.38129059466635,22.02784897584184,21.19675819627642,-2.512114962173128,8.301
1533059192.562,27.19950405833092,23.05049489886444,17.393470061472406,-2.039507823833357,30.762
1533059192.565,19.19494857679138,24.38750006242758,17.937720469425834,-4.934588073335508,102.051
1533059192.569,6.15294526217262,21.889855425598142,16.62898106051084,-7.632974009506735,56.152
1533059192.573,12.169691788492075,21.88763609939791,13.571413920137331,-8.132085724909025,33.203
1533059192.577,30.79086228204609,24.992176257597396,16.672692130635486,-5.816765722058963,32.227
1533059192.581,28.23695862628979,23.49736938667601,19.67256219283457,-3.810993687432556,17.578
1533059192.585,26.127671611846225,21.585100021214465,22.255249324581268,-1.5117033263725517,7.812
1533059192.589,16.0714398535314,21.171017435762117,23.21944857564229,5.615164114784094,-18.555
1533059192.593,14.418812235933489,21.956584212715708,24.58842132035989,8.696910692350585,8.789
1533059192.597,27.842795147916515,22.229336755861443,28.920402378849744,6.732685355462052,49.805
1533059192.601,31.498609584782475,19.80850660651305,31.515282381332955,9.417140921806954,20.996
1533059192.605,28.48681099025502,19.534231285919137,30.653160961849863,17.97207791131429,30.273
1533059192.608,24.56893815719663,21.43730540717804,31.20652881292484,18.75117619106822,89.844
1533059192.612,22.77772664847849,19.597212320870117,26.76145566103287,15.419282646169872,72.754
1533059192.616,34.557796420456626,21.67014324277521,29.370845628127363,16.7099987958148,37.598
1533059192.62,32.87051798627021,20.33312486657537,34.835531481072955,9.779396377841458,16.113
1533059192.624,20.441987224258213,20.481150421578064,35.26917632620188,12.184451312181793,-14.648
1533059192.628,13.827585016482097,18.196028065237297,39.19501427617045,13.818264321770036,43.945
1533059192.632,16.41079142505867,13.5503735585651,38.367330281508586,15.50112254962051,78.613
1533059192.636,38.50478656665398,19.35488236657348,34.171932749114205,25.229727264682463,56.152
1533059192.64,41.44794084039065,23.147961363880157,34.55331806767901,16.612223837736657,16.113
1533059192.644,24.650855157225298,19.99962778692716,32.66417710257253,6.997264957743915,-53.711
1533059192.647,16.532515194494408,16.53110464210231,33.7854495766772,7.912911649313601,23.438
1533059192.651,7.76249852656615,7.28871013298065,37.29043570826891,14.94348667369452,70.801
1533059192.655,25.66506454786794,0.0,41.77520039123935,24.705884160553403,27.832
1533059192.659,42.93052800781489,6.156716605468644,33.64451748439159,17.02517234449541,22.461
1533059192.663,26.05726366904162,12.159138944586669,25.60144054330457,4.951192874806146,42.969
1533059192.667,22.4501268307166,13.212751165467234,21.656849167700045,3.833459690331439,10.254
1533059192.671,16.031850264566355,20.730525803287176,15.792139495640324,-2.963021207981871,-12.695
1533059192.675,22.562026683490263,25.49832969574813,12.173338221362338,-3.0171897472054554,32.227
1533059192.679,30.88106768591533,23.326191011849573,19.222132907264065,5.770294809054892,13.672
1533059192.683,21.888760418459828,16.200691258998493,25.70462589294518,8.617858857565755,-18.066
1533059192.687,21.88390232647656,12.113646445401807,27.616170674144403,7.510316347573951,19.043
1533059192.69,14.002452764223689,15.217527356033102,28.39166592365386,10.67201839343187,55.176
1533059192.694,9.91504776527284,21.329294494676983,27.14490984408925,4.690610349392125,51.27
1533059192.698,25.5743655595508,23.986321128573685,20.775579137603277,-1.904040330277343,-13.672
1533059192.702,33.011831836934746,29.129742974616544,15.873957018052396,3.8156633122379775,-18.555
1533059192.706,24.45552884374608,32.256699375663175,13.410894849422144,2.42726326666242,-4.395
1533059192.71,4.506669407429668,27.637376757260583,15.080945539873792,-7.702822478480181,-21.484
1533059192.714,0.0,25.73592974457026,19.27954546105536,-8.324448745852653,56.152
1533059192.718,19.54474291010548,23.658134177203586,22.20310365601738,-1.0189706757260546,17.578
1533059192.722,27.413774101451494,22.960387743423592,21.98068367543972,1.4043137613179375,32.227
1533059192.726,25.081486369407237,26.15143512137685,23.100379950163767,-2.9815826979105537,35.645
1533059192.73,19.638441648512966,29.11189686164972,21.728105461513703,-8.853729539759925,10.742
1533059192.733,19.490901361283782,25.600791109728824,20.446849535301165,-5.946529608899674,109.863
1533059192.737,35.32661904058708,25.62881171164778,24.17998903106755,0.9752700897696872,136.23
1533059192.741,38.72340430009612,25.46712338245783,28.514029700573637,-0.5087947633954992,76.66
1533059192.745,21.324733533483663,22.00610389011576,31.50757225128244,-3.549736580991519,20.02
1533059192.749,11.89782587033397,16.496838431687195,32.32665099387614,2.425305154076401,70.801
1533059192.753,17.7252993918377,16.095666297229542,31.2541601738922,8.54298423214688,90.82
1533059192.757,36.92626852035775,22.071871178357224,28.168408388839744,8.7876529137323,73.242
1533059192.761,37.69937701536774,24.38355376154338,25.577703141810733,5.000375961386012,52.246
1533059192.765,22.165322486313105,22.08389941920249,28.795114763012524,-2.4096459676837045,68.848
1533059192.769,10.339731994865769,20.685516257429548,29.18982268679961,-3.039769784778976,18.066
1533059192.772,13.007494893337704,22.3052674416916,25.35665642813084,2.321414531032713,-19.043
1533059192.776,33.289011062068006,24.14914505173968,25.05509780473369,4.403163835564167,22.461
1533059192.78,38.27752513535376,23.222293368994997,23.27566767754403,6.401549322490021,36.621
1533059192.784,28.89506101222848,21.48970931671944,28.108896613603616,8.477240480568188,35.156
1533059192.788,20.611672932677152,18.33888849444377,28.0117106623224,5.803600771512474,3.906
1533059192.792,19.659085234759303,19.131712647250065,22.01631078539375,2.4739470703177098,8.789
1533059192.796,33.00001394508688,19.22886810177967,19.88068000888692,0.4947597598969946,-4.883
1533059192.8,38.55332887507457,21.85898093056384,17.531853969846022,2.4027439959926338,-16.113
1533059192.804,32.500390964766765,23.42333058818505,16.31027829953148,6.807842748946869,27.832
1533059192.808,25.994339036327727,24.669935920466436,14.710502276761336,3.4520291940174883,-6.836
1533059192.812,17.88121159624967,25.75414651846653,12.134188560648932,-5.753994435593694,-42.969
1533059192.815,33.81978352732244,27.482360158012696,12.704915327706187,-3.881912270689577,28.32
1533059192.819,36.61836770950883,21.420847087675572,15.477060293709137,-7.176995820717639,24.902
1533059192.823,21.92385699199516,17.064750071473476,18.38395474445385,-10.121471009621056,16.113
1533059192.827,18.171086594615204,15.208033130320876,22.740880668338757,-5.1529328671028365,33.691
1533059192.831,16.29770758985504,13.1463625556008,27.27250915009789,4.02199503455575,65.918
1533059192.835,28.56519562713996,15.539204231234118,25.217091679904943,13.305294454847074,48.828
1533059192.839,32.756342782172666,23.193286507887493,17.084189396667302,11.777078375253408,-19.531
1533059192.843,28.46739356042879,21.83937494915421,16.78137440746031,12.799305359183462,-14.648
1533059192.847,20.641784680179487,20.247804850621502,21.169984634026463,17.365423002303093,15.625
